timestamp,message
Apr 30 12:20:08,mariadbd[229]: 2026-04-30 12:20:08 2184 [Warning] Aborted connection 2184 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 12:35:08,mariadbd[229]: 2026-04-30 12:35:08 2186 [Warning] Aborted connection 2186 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 12:50:08,mariadbd[229]: 2026-04-30 12:50:08 2188 [Warning] Aborted connection 2188 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 13:05:08,mariadbd[229]: 2026-04-30 13:05:08 2190 [Warning] Aborted connection 2190 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 13:20:08,mariadbd[229]: 2026-04-30 13:20:08 2192 [Warning] Aborted connection 2192 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 13:35:08,mariadbd[229]: 2026-04-30 13:35:08 2194 [Warning] Aborted connection 2194 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 13:50:08,mariadbd[229]: 2026-04-30 13:50:08 2196 [Warning] Aborted connection 2196 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 13:55:16,mariadbd[229]: 2026-04-30 13:55:16 2198 [Warning] Aborted connection 2198 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 14:05:08,mariadbd[229]: 2026-04-30 14:05:08 2200 [Warning] Aborted connection 2200 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 14:10:37,mariadbd[229]: 2026-04-30 14:10:37 2202 [Warning] Aborted connection 2202 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 14:20:08,mariadbd[229]: 2026-04-30 14:20:08 2204 [Warning] Aborted connection 2204 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 14:25:37,mariadbd[229]: 2026-04-30 14:25:37 2206 [Warning] Aborted connection 2206 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 14:26:33,apt-helper[91791]: E: Sub-process /lib/systemd/systemd-networkd-wait-online returned an error code (1)
Apr 30 14:35:08,mariadbd[229]: 2026-04-30 14:35:08 2208 [Warning] Aborted connection 2208 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 14:40:37,mariadbd[229]: 2026-04-30 14:40:37 2210 [Warning] Aborted connection 2210 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 14:50:08,mariadbd[229]: 2026-04-30 14:50:08 2212 [Warning] Aborted connection 2212 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 14:55:57,mariadbd[229]: 2026-04-30 14:55:57 2214 [Warning] Aborted connection 2214 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 15:05:08,mariadbd[229]: 2026-04-30 15:05:08 2216 [Warning] Aborted connection 2216 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 15:11:17,mariadbd[229]: 2026-04-30 15:11:17 2218 [Warning] Aborted connection 2218 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
Apr 30 15:20:08,mariadbd[229]: 2026-04-30 15:20:08 2220 [Warning] Aborted connection 2220 to db: 'tickets' user: 'bot' host: 'localhost' (Got an error reading communication packets)
